CohortMonth,0,3,9,10,22,44
2020-03,1.0,,,,,
2020-04,1.0,,,,,
2020-05,1.0,,,,,
2020-06,1.0,,,,,
2020-07,1.0,,,,,0.125
2020-08,1.0,,,,,
2020-09,1.0,,,,,
2020-10,1.0,,0.0625,,,
2020-11,1.0,,,0.07142857142857142,,
2020-12,1.0,,,,,
2021-01,1.0,,,,,
2021-02,1.0,,,,,
2021-03,1.0,,,,,
2021-04,1.0,,,,0.1111111111111111,
2021-05,1.0,,,,,
2021-06,1.0,,,,,
2021-07,1.0,,,,,
2021-08,1.0,,,,,
2021-09,1.0,,,,,
2021-10,1.0,,,,,
2021-11,1.0,,,,,
2021-12,1.0,,,,,
2022-01,1.0,,,,,
2022-02,1.0,,,,,
2022-03,1.0,,,,,
2022-04,1.0,,,,,
2022-05,1.0,,,,,
2022-06,1.0,,,,,
2022-07,1.0,0.07692307692307693,,,,
2022-08,1.0,,,,,
2022-09,1.0,,,,,
2022-10,1.0,,,,,
2022-11,1.0,,,,,
2022-12,1.0,,,,,
2023-01,1.0,,,,,
2023-02,1.0,,,,,
2023-03,1.0,,,,,
2023-04,1.0,,,,,
2023-05,1.0,,,,,
2023-06,1.0,,,,,
2023-07,1.0,,,,,
2023-08,1.0,,,,,
2023-09,1.0,,,,,
2023-10,1.0,,,,,
2023-11,1.0,,,,,
2023-12,1.0,,,,,
2024-01,1.0,,,,,
2024-02,1.0,,,,,
2024-03,1.0,,,,,
2024-04,1.0,,,,,
2024-05,1.0,,,,,
2024-06,1.0,,,,,
2024-07,1.0,,,,,
2024-08,1.0,,,,,
2024-09,1.0,,,,,
2024-10,1.0,,,,,
2024-11,1.0,,,,,
2024-12,1.0,,,,,
2025-01,1.0,,,,,
2025-02,1.0,,,,,
2025-03,1.0,,,,,
